Total SNAP,Life Expectancy,County,Percent Smokers,State,Percent Obese,Unemployment_rate_2010,min_wage
14105,75.74,Autauga County,25.8,Alabama,30.5,8.9,7.25
37409,77.8,Baldwin County,23.0,Alabama,26.6,10.0,7.25
11984,75.34,Barbour County,26.8,Alabama,37.3,12.3,7.25
7648,74.13,Bibb County,30.1,Alabama,34.3,11.4,7.25
16461,76.41,Blount County,27.9,Alabama,30.4,9.8,7.25
5629,73.61,Bullock County,28.0,Alabama,42.1,11.8,7.25
10171,73.63,Butler County,28.3,Alabama,38.3,13.6,7.25
47333,74.11,Calhoun County,28.6,Alabama,33.2,11.4,7.25
15914,74.09,Chambers County,29.5,Alabama,35.4,14.9,7.25
10011,75.26,Cherokee County,26.1,Alabama,31.4,10.6,7.25
18489,74.5,Chilton County,28.9,Alabama,38.3,10.3,7.25
6344,75.19,Choctaw County,23.2,Alabama,38.9,13.3,7.25
11854,75.29,Clarke County,24.3,Alabama,36,19.9,7.25
4177,75.25,Clay County,30.4,Alabama,35.3,14.5,7.25
4805,74.53,Cleburne County,29.0,Alabama,31.3,10.0,7.25
11586,76.5,Coffee County,24.2,Alabama,29.9,8.6,7.25
17488,75.26,Colbert County,26.2,Alabama,32.2,11.5,7.25
8297,74.08,Conecuh County,27.8,Alabama,36.3,17.2,7.25
3941,75.21,Coosa County,30.4,Alabama,34.3,15.4,7.25
15241,75.42,Covington County,29.7,Alabama,33.8,10.3,7.25
5686,74.47,Crenshaw County,27.2,Alabama,35.7,10.2,7.25
21887,75.48,Cullman County,27.6,Alabama,32.4,10.4,7.25
19726,76.33,Dale County,24.3,Alabama,35.3,8.8,7.25
32665,72.48,Dallas County,27.7,Alabama,41.4,16.9,7.25
21225,75.95,Elmore County,26.9,Alabama,30.6,9.1,7.25
18043,74.3,Escambia County,28.6,Alabama,36.9,11.8,7.25
33315,73.86,Etowah County,29.1,Alabama,31.8,10.9,7.25
7404,74.26,Fayette County,26.8,Alabama,36.4,13.0,7.25
12350,73.57,Franklin County,26.9,Alabama,34.3,10.7,7.25
10365,75.65,Geneva County,28.0,Alabama,34,10.4,7.25
6173,74.08,Greene County,25.1,Alabama,47.9,17.3,7.25
7766,73.93,Hale County,24.7,Alabama,41.6,15.1,7.25
6761,75.82,Henry County,23.8,Alabama,34.6,10.9,7.25
34665,76.7,Houston County,24.5,Alabama,34.9,9.1,7.25
17739,74.39,Jackson County,28.4,Alabama,30,11.8,7.25
209038,75.11,Jefferson County,23.0,Alabama,32.2,10.3,7.25
5648,74.93,Lamar County,26.6,Alabama,31.3,13.2,7.25
25024,76.55,Lauderdale County,23.8,Alabama,32.2,10.1,7.25
11704,74.55,Lawrence County,27.4,Alabama,37.7,12.6,7.25
31068,77.17,Lee County,21.6,Alabama,32,9.0,7.25
20520,77.15,Limestone County,25.5,Alabama,33.8,9.6,7.25
8570,72.78,Lowndes County,25.9,Alabama,43.8,18.5,7.25
14424,72.98,Macon County,25.4,Alabama,39.2,14.8,7.25
59795,77.79,Madison County,21.5,Alabama,30,8.3,7.25
10516,74.67,Marengo County,21.6,Alabama,41.6,13.7,7.25
12486,74.62,Marion County,27.6,Alabama,33,13.6,7.25
27988,74.57,Marshall County,28.4,Alabama,31.5,9.6,7.25
178196,74.95,Mobile County,26.7,Alabama,33.9,11.3,7.25
10712,74.9,Monroe County,25.9,Alabama,35.9,18.1,7.25
95899,75.93,Montgomery County,22.7,Alabama,35.3,10.0,7.25
30033,75.92,Morgan County,27.4,Alabama,28.5,10.8,7.25
8988,72.55,Perry County,26.5,Alabama,38.9,16.8,7.25
8226,74.66,Pickens County,26.1,Alabama,38.5,13.1,7.25
14296,74.86,Pike County,23.4,Alabama,36,9.4,7.25
11435,74.78,Randolph County,30.4,Alabama,34.2,13.4,7.25
