Total SNAP,CountyState,Life Expectancy
14105,Autauga County Alabama,75.74
37409,Baldwin County Alabama,77.80
11984,Barbour County Alabama,75.34
7648,Bibb County Alabama,74.13
16461,Blount County Alabama,76.41
5629,Bullock County Alabama,73.61
10171,Butler County Alabama,73.63
47333,Calhoun County Alabama,74.11
15914,Chambers County Alabama,74.09
10011,Cherokee County Alabama,75.26
18489,Chilton County Alabama,74.50
6344,Choctaw County Alabama,75.19
11854,Clarke County Alabama,75.29
4177,Clay County Alabama,75.25
4805,Cleburne County Alabama,74.53
11586,Coffee County Alabama,76.50
17488,Colbert County Alabama,75.26
8297,Conecuh County Alabama,74.08
3941,Coosa County Alabama,75.21
15241,Covington County Alabama,75.42
5686,Crenshaw County Alabama,74.47
21887,Cullman County Alabama,75.48
19726,Dale County Alabama,76.33
32665,Dallas County Alabama,72.48
24959,Dekalb County Alabama,75.33
21225,Elmore County Alabama,75.95
18043,Escambia County Alabama,74.30
33315,Etowah County Alabama,73.86
7404,Fayette County Alabama,74.26
12350,Franklin County Alabama,73.57
10365,Geneva County Alabama,75.65
6173,Greene County Alabama,74.08
7766,Hale County Alabama,73.93
6761,Henry County Alabama,75.82
34665,Houston County Alabama,76.70
17739,Jackson County Alabama,74.39
209038,Jefferson County Alabama,75.11
5648,Lamar County Alabama,74.93
25024,Lauderdale County Alabama,76.55
11704,Lawrence County Alabama,74.55
31068,Lee County Alabama,77.17
20520,Limestone County Alabama,77.15
8570,Lowndes County Alabama,72.78
14424,Macon County Alabama,72.98
59795,Madison County Alabama,77.79
10516,Marengo County Alabama,74.67
12486,Marion County Alabama,74.62
27988,Marshall County Alabama,74.57
178196,Mobile County Alabama,74.95
10712,Monroe County Alabama,74.90
95899,Montgomery County Alabama,75.93
30033,Morgan County Alabama,75.92
8988,Perry County Alabama,72.55
8226,Pickens County Alabama,74.66
14296,Pike County Alabama,74.86
11435,Randolph County Alabama,74.78
26961,Russell County Alabama,73.87
22942,Saint Clair County Alabama,75.35
23641,Shelby County Alabama,79.18
8978,Sumter County Alabama,74.63
33439,Talladega County Alabama,74.23
16291,Tallapoosa County Alabama,74.99
51522,Tuscaloosa County Alabama,75.86
21664,Walker County Alabama,72.12
6761,Washington County Alabama,74.82
10146,Wilcox County Alabama,72.41
7921,Winston County Alabama,74.42
156821,Aleutians East Borough Alaska,82.76
54698,Aleutians West Census Area Alaska,82.76
43176,Anchorage Municipality Alaska,78.62
21332,Bethel Census Area Alaska,74.04
21844,Bristol Bay Borough Alaska,76.82
0,Denali Borough Alaska,74.22
46940,Dillingham Census Area Alaska,74.67
24775,Fairbanks North Star Borough Alaska,79.25
15360,Haines Borough Alaska,79.40
7782,Hoonah-Angoon Census Area Alaska,79.44
7862,Juneau City And Borough Alaska,80.13
284,Kenai Peninsula Borough Alaska,78.32
2351,Ketchikan Gateway Borough Alaska,77.94
1120868,Kodiak Island Borough Alaska,79.07
83061,Kusilvak Census Area Alaska,70.47
66576,Lake And Peninsula Borough Alaska,74.67
54119,Matanuska-Susitna Borough Alaska,78.02
52449,Nome Census Area Alaska,72.14
39992,North Slope Borough Alaska,76.42
326051,Northwest Arctic Borough Alaska,74.02
100556,Petersburg Borough Alaska,77.94
22327,Prince Of Wales-Hyder Census Area Alaska,77.94
56904,Sitka City And Borough Alaska,79.48
79260,Skagway Municipality Alaska,79.44
