Unemployment_rate_2010,CountyState,Percent Obese,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,County,State,Life expectancy 2010,Percent Smokers,min_wage
8.9,Autauga County Alabama,30.5,1706.0,12399.0,14105.0,Autauga County,Alabama,75.74,25.8,7.25
10.0,Baldwin County Alabama,26.6,3236.0,34173.0,37409.0,Baldwin County,Alabama,77.8,23.0,7.25
12.3,Barbour County Alabama,37.3,2137.0,9847.0,11984.0,Barbour County,Alabama,75.34,26.8,7.25
11.4,Bibb County Alabama,34.3,1195.0,6453.0,7648.0,Bibb County,Alabama,74.13,30.1,7.25
9.8,Blount County Alabama,30.4,2046.0,14415.0,16461.0,Blount County,Alabama,76.41,27.9,7.25
11.8,Bullock County Alabama,42.1,1189.0,4440.0,5629.0,Bullock County,Alabama,73.61,28.0,7.25
13.6,Butler County Alabama,38.3,1766.0,8405.0,10171.0,Butler County,Alabama,73.63,28.3,7.25
11.4,Calhoun County Alabama,33.2,7206.0,40127.0,47333.0,Calhoun County,Alabama,74.11,28.6,7.25
14.9,Chambers County Alabama,35.4,2509.0,13405.0,15914.0,Chambers County,Alabama,74.09,29.5,7.25
10.6,Cherokee County Alabama,31.4,1422.0,8589.0,10011.0,Cherokee County,Alabama,75.26,26.1,7.25
10.3,Chilton County Alabama,38.3,2271.0,16218.0,18489.0,Chilton County,Alabama,74.5,28.9,7.25
13.3,Choctaw County Alabama,38.9,1005.0,5339.0,6344.0,Choctaw County,Alabama,75.19,23.2,7.25
19.9,Clarke County Alabama,36,2381.0,9473.0,11854.0,Clarke County,Alabama,75.29,24.3,7.25
14.5,Clay County Alabama,35.3,567.0,3610.0,4177.0,Clay County,Alabama,75.25,30.4,7.25
10.0,Cleburne County Alabama,31.3,626.0,4179.0,4805.0,Cleburne County,Alabama,74.53,29.0,7.25
8.6,Coffee County Alabama,29.9,1426.0,10160.0,11586.0,Coffee County,Alabama,76.5,24.2,7.25
11.5,Colbert County Alabama,32.2,2359.0,15129.0,17488.0,Colbert County,Alabama,75.26,26.2,7.25
17.2,Conecuh County Alabama,36.3,1284.0,7013.0,8297.0,Conecuh County,Alabama,74.08,27.8,7.25
15.4,Coosa County Alabama,34.3,582.0,3359.0,3941.0,Coosa County,Alabama,75.21,30.4,7.25
10.3,Covington County Alabama,33.8,1832.0,13409.0,15241.0,Covington County,Alabama,75.42,29.7,7.25
10.2,Crenshaw County Alabama,35.7,945.0,4741.0,5686.0,Crenshaw County,Alabama,74.47,27.2,7.25
10.4,Cullman County Alabama,32.4,2769.0,19118.0,21887.0,Cullman County,Alabama,75.48,27.6,7.25
8.8,Dale County Alabama,35.3,3104.0,16622.0,19726.0,Dale County,Alabama,76.33,24.3,7.25
16.9,Dallas County Alabama,41.4,6924.0,25741.0,32665.0,Dallas County,Alabama,72.48,27.7,7.25
12.7,DeKalb County Alabama,32.4,2455.0,22504.0,24959.0,DeKalb County,Alabama,75.33,27.2,7.25
9.1,Elmore County Alabama,30.6,2848.0,18377.0,21225.0,Elmore County,Alabama,75.95,26.9,7.25
11.8,Escambia County Alabama,36.9,2245.0,15798.0,18043.0,Escambia County,Alabama,74.3,28.6,7.25
10.9,Etowah County Alabama,31.8,4446.0,28869.0,33315.0,Etowah County,Alabama,73.86,29.1,7.25
13.0,Fayette County Alabama,36.4,1427.0,5977.0,7404.0,Fayette County,Alabama,74.26,26.8,7.25
10.7,Franklin County Alabama,34.3,1656.0,10694.0,12350.0,Franklin County,Alabama,73.57,26.9,7.25
10.4,Geneva County Alabama,34,1296.0,9069.0,10365.0,Geneva County,Alabama,75.65,28.0,7.25
17.3,Greene County Alabama,47.9,1136.0,5037.0,6173.0,Greene County,Alabama,74.08,25.1,7.25
15.1,Hale County Alabama,41.6,1628.0,6138.0,7766.0,Hale County,Alabama,73.93,24.7,7.25
10.9,Henry County Alabama,34.6,968.0,5793.0,6761.0,Henry County,Alabama,75.82,23.8,7.25
9.1,Houston County Alabama,34.9,5946.0,28719.0,34665.0,Houston County,Alabama,76.7,24.5,7.25
11.8,Jackson County Alabama,30,2154.0,15585.0,17739.0,Jackson County,Alabama,74.39,28.4,7.25
10.3,Jefferson County Alabama,32.2,37750.0,171288.0,209038.0,Jefferson County,Alabama,75.11,23.0,7.25
13.2,Lamar County Alabama,31.3,1009.0,4639.0,5648.0,Lamar County,Alabama,74.93,26.6,7.25
10.1,Lauderdale County Alabama,32.2,3240.0,21784.0,25024.0,Lauderdale County,Alabama,76.55,23.8,7.25
12.6,Lawrence County Alabama,37.7,1700.0,10004.0,11704.0,Lawrence County,Alabama,74.55,27.4,7.25
9.0,Lee County Alabama,32,3620.0,27448.0,31068.0,Lee County,Alabama,77.17,21.6,7.25
9.6,Limestone County Alabama,33.8,2649.0,17871.0,20520.0,Limestone County,Alabama,77.15,25.5,7.25
18.5,Lowndes County Alabama,43.8,1737.0,6833.0,8570.0,Lowndes County,Alabama,72.78,25.9,7.25
14.8,Macon County Alabama,39.2,2313.0,12111.0,14424.0,Macon County,Alabama,72.98,25.4,7.25
8.3,Madison County Alabama,30,8431.0,51364.0,59795.0,Madison County,Alabama,77.79,21.5,7.25
13.7,Marengo County Alabama,41.6,2153.0,8363.0,10516.0,Marengo County,Alabama,74.67,21.6,7.25
13.6,Marion County Alabama,33,1712.0,10774.0,12486.0,Marion County,Alabama,74.62,27.6,7.25
9.6,Marshall County Alabama,31.5,3134.0,24854.0,27988.0,Marshall County,Alabama,74.57,28.4,7.25
11.3,Mobile County Alabama,33.9,24388.0,153808.0,178196.0,Mobile County,Alabama,74.95,26.7,7.25
18.1,Monroe County Alabama,35.9,1497.0,9215.0,10712.0,Monroe County,Alabama,74.9,25.9,7.25
10.0,Montgomery County Alabama,35.3,16819.0,79080.0,95899.0,Montgomery County,Alabama,75.93,22.7,7.25
10.8,Morgan County Alabama,28.5,3370.0,26663.0,30033.0,Morgan County,Alabama,75.92,27.4,7.25
16.8,Perry County Alabama,38.9,1850.0,7138.0,8988.0,Perry County,Alabama,72.55,26.5,7.25
13.1,Pickens County Alabama,38.5,1721.0,6505.0,8226.0,Pickens County,Alabama,74.66,26.1,7.25
9.4,Pike County Alabama,36,2596.0,11700.0,14296.0,Pike County,Alabama,74.86,23.4,7.25
13.4,Randolph County Alabama,34.2,1645.0,9790.0,11435.0,Randolph County,Alabama,74.78,30.4,7.25
10.9,Russell County Alabama,36.5,3801.0,23160.0,26961.0,Russell County,Alabama,73.87,28.4,7.25
7.1,Shelby County Alabama,29.6,2919.0,20722.0,23641.0,Shelby County,Alabama,79.18,19.1,7.25
13.3,Sumter County Alabama,40.1,2013.0,6965.0,8978.0,Sumter County,Alabama,74.63,23.1,7.25
13.5,Talladega County Alabama,38.4,5698.0,27741.0,33439.0,Talladega County,Alabama,74.23,27.2,7.25
13.1,Tallapoosa County Alabama,35.1,2777.0,13514.0,16291.0,Tallapoosa County,Alabama,74.99,27.9,7.25
9.2,Tuscaloosa County Alabama,33.2,9723.0,41799.0,51522.0,Tuscaloosa County,Alabama,75.86,23.0,7.25
12.7,Walker County Alabama,36,2832.0,18832.0,21664.0,Walker County,Alabama,72.12,28.8,7.25
14.2,Washington County Alabama,35.9,1035.0,5726.0,6761.0,Washington County,Alabama,74.82,24.6,7.25
26.3,Wilcox County Alabama,41.6,2433.0,7713.0,10146.0,Wilcox County,Alabama,72.41,26.0,7.25
16.0,Winston County Alabama,35.7,1297.0,6624.0,7921.0,Winston County,Alabama,74.42,28.4,7.25
5.6,Aleutians East Borough Alaska,32.3,25528.0,131293.0,156821.0,Aleutians East Borough,Alaska,82.76,27.4,7.75
16.4,Apache County Arizona,31.8,856.0,6991.0,7847.0,Apache County,Arizona,74.19,24.2,7.8
18.6,Arkansas County Arkansas,35.4,24609.0,177250.0,201859.0,Arkansas County,Arkansas,74.49,27.9,7.25
9.4,Baxter County Arkansas,28.5,347.0,4495.0,4842.0,Baxter County,Arkansas,76.96,28.3,7.25
7.8,Boone County Arkansas,27.3,165.0,2636.0,2801.0,Boone County,Arkansas,77.34,26.9,7.25
8.8,Calhoun County Arkansas,34.2,202.0,6124.0,6326.0,Calhoun County,Arkansas,75.74,29.8,7.25
7.3,Carroll County Arkansas,28.7,182.0,2620.0,2802.0,Carroll County,Arkansas,78.09,26.2,7.25
8.6,Clark County Arkansas,32.6,657.0,26038.0,26695.0,Clark County,Arkansas,75.92,24.1,7.25
8.6,Cleburne County Arkansas,28.8,741.0,10705.0,11446.0,Cleburne County,Arkansas,77.47,27.4,7.25
8.4,Cleveland County Arkansas,34.9,275.0,7814.0,8089.0,Cleveland County,Arkansas,76.17,27.3,7.25
10.0,Columbia County Arkansas,33.5,2446.0,26563.0,29009.0,Columbia County,Arkansas,74.66,24.5,7.25
9.7,Conway County Arkansas,35.7,556.0,18849.0,19405.0,Conway County,Arkansas,76.19,27.5,7.25
7.4,Craighead County Arkansas,34.1,2481.0,26723.0,29204.0,Craighead County,Arkansas,76.08,24.9,7.25
8.2,Crawford County Arkansas,35.9,428.0,5834.0,6262.0,Crawford County,Arkansas,75.97,27.8,7.25
10.5,Crittenden County Arkansas,38.1,265.0,2964.0,3229.0,Crittenden County,Arkansas,72.35,28.4,7.25
12.3,Dallas County Arkansas,33,5484.0,323844.0,329328.0,Dallas County,Arkansas,74.36,30.7,7.25
10.9,Drew County Arkansas,32.3,452.0,6717.0,7169.0,Drew County,Arkansas,75.94,24.0,7.25
7.2,Faulkner County Arkansas,29.4,363.0,7218.0,7581.0,Faulkner County,Arkansas,77.31,23.1,7.25
7.7,Franklin County Arkansas,33.6,990.0,22602.0,23592.0,Franklin County,Arkansas,75.79,28.7,7.25
7.8,Fulton County Arkansas,31.1,165.0,6260.0,6425.0,Fulton County,Arkansas,76.41,29.3,7.25
7.1,Grant County Arkansas,36.1,98.0,4227.0,4325.0,Grant County,Arkansas,76.08,28.7,7.25
9.3,Hempstead County Arkansas,36.3,217.0,3775.0,3992.0,Hempstead County,Arkansas,75.18,26.7,7.25
8.6,Hot Spring County Arkansas,33.4,1196.0,29397.0,30593.0,Hot Spring County,Arkansas,75.81,30.7,7.25
7.8,Howard County Arkansas,35.7,109.0,4060.0,4169.0,Howard County,Arkansas,74.94,29.1,7.25
11.9,Jackson County Arkansas,37.1,541.0,7354.0,7895.0,Jackson County,Arkansas,74.01,32.0,7.25
9.9,Lafayette County Arkansas,30.9,60.0,2366.0,2426.0,Lafayette County,Arkansas,74.22,28.8,7.25
9.4,Lincoln County Arkansas,32.9,654.0,13602.0,14256.0,Lincoln County,Arkansas,76.34,30.2,7.25
7.7,Little River County Arkansas,32.9,602.0,8300.0,8902.0,Little River County,Arkansas,75.19,29.0,7.25
8.6,Logan County Arkansas,33.2,285.0,10080.0,10365.0,Logan County,Arkansas,75.74,29.8,7.25
