State,County,Obesity,Min Wage,Life expectancy 2010,Percent Smokers,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Unemployment_rate_2010
Alabama,Autauga County,30.5,7.25,75.74,25.8,1706,12399,14105,8.9
Alabama,Baldwin County,26.6,7.25,77.8,23.0,3236,34173,37409,10.0
Georgia,Baldwin County,32,7.25,77.8,23.0,3236,34173,37409,10.0
Alabama,Barbour County,37.3,7.25,75.34,26.8,2137,9847,11984,12.3
West Virginia,Barbour County,31.9,7.25,75.34,26.8,2137,9847,11984,12.3
Alabama,Bibb County,34.3,7.25,74.13,30.1,1195,6453,7648,11.4
Georgia,Bibb County,30.3,7.25,74.13,30.1,1195,6453,7648,11.4
Alabama,Blount County,30.4,7.25,76.41,27.9,2046,14415,16461,9.8
Tennessee,Blount County,31.9,7.25,76.41,27.9,2046,14415,16461,9.8
Alabama,Bullock County,42.1,7.25,73.61,28.0,1189,4440,5629,11.8
Alabama,Butler County,38.3,7.25,73.63,28.3,1766,8405,10171,13.6
Iowa,Butler County,27.2,7.25,73.63,28.3,1766,8405,10171,13.6
Kansas,Butler County,33.3,7.25,73.63,28.3,1766,8405,10171,13.6
Kentucky,Butler County,34.8,7.25,73.63,28.3,1766,8405,10171,13.6
Missouri,Butler County,32.9,7.35,73.63,28.3,1766,8405,10171,13.6
Nebraska,Butler County,27.8,7.25,73.63,28.3,1766,8405,10171,13.6
Ohio,Butler County,29.8,7.85,73.63,28.3,1766,8405,10171,13.6
Pennsylvania,Butler County,29.1,7.25,73.63,28.3,1766,8405,10171,13.6
Alabama,Calhoun County,33.2,7.25,74.11,28.6,7206,40127,47333,11.4
Arkansas,Calhoun County,34.2,7.25,74.11,28.6,7206,40127,47333,11.4
Florida,Calhoun County,36.1,7.79,74.11,28.6,7206,40127,47333,11.4
Georgia,Calhoun County,31.7,7.25,74.11,28.6,7206,40127,47333,11.4
Illinois,Calhoun County,29.5,7.25,74.11,28.6,7206,40127,47333,11.4
Iowa,Calhoun County,30.4,7.25,74.11,28.6,7206,40127,47333,11.4
Michigan,Calhoun County,37.1,7.25,74.11,28.6,7206,40127,47333,11.4
Mississippi,Calhoun County,33.6,7.25,74.11,28.6,7206,40127,47333,11.4
South Carolina,Calhoun County,38.4,7.25,74.11,28.6,7206,40127,47333,11.4
Texas,Calhoun County,28.4,7.25,74.11,28.6,7206,40127,47333,11.4
West Virginia,Calhoun County,35.9,7.25,74.11,28.6,7206,40127,47333,11.4
Alabama,Chambers County,35.4,7.25,74.09,29.5,2509,13405,15914,14.9
Texas,Chambers County,30.2,7.25,74.09,29.5,2509,13405,15914,14.9
Alabama,Cherokee County,31.4,7.25,75.26,26.1,1422,8589,10011,10.6
Georgia,Cherokee County,27.9,7.25,75.26,26.1,1422,8589,10011,10.6
Iowa,Cherokee County,27.7,7.25,75.26,26.1,1422,8589,10011,10.6
Kansas,Cherokee County,37.2,7.25,75.26,26.1,1422,8589,10011,10.6
North Carolina,Cherokee County,27.5,7.25,75.26,26.1,1422,8589,10011,10.6
Oklahoma,Cherokee County,35.2,7.25,75.26,26.1,1422,8589,10011,10.6
South Carolina,Cherokee County,31.4,7.25,75.26,26.1,1422,8589,10011,10.6
Texas,Cherokee County,33.6,7.25,75.26,26.1,1422,8589,10011,10.6
Alabama,Chilton County,38.3,7.25,74.5,28.9,2271,16218,18489,10.3
Alabama,Choctaw County,38.9,7.25,75.19,23.2,1005,5339,6344,13.3
Mississippi,Choctaw County,34.8,7.25,75.19,23.2,1005,5339,6344,13.3
Oklahoma,Choctaw County,34.3,7.25,75.19,23.2,1005,5339,6344,13.3
Alabama,Clarke County,36,7.25,75.29,24.3,2381,9473,11854,19.9
Georgia,Clarke County,26.7,7.25,75.29,24.3,2381,9473,11854,19.9
Iowa,Clarke County,31.3,7.25,75.29,24.3,2381,9473,11854,19.9
Mississippi,Clarke County,34.9,7.25,75.29,24.3,2381,9473,11854,19.9
Virginia,Clarke County,29.8,7.25,75.29,24.3,2381,9473,11854,19.9
Alabama,Clay County,35.3,7.25,75.25,30.4,567,3610,4177,14.5
Arkansas,Clay County,32,7.25,75.25,30.4,567,3610,4177,14.5
Florida,Clay County,28.2,7.79,75.25,30.4,567,3610,4177,14.5
Georgia,Clay County,33.6,7.25,75.25,30.4,567,3610,4177,14.5
Illinois,Clay County,29.6,7.25,75.25,30.4,567,3610,4177,14.5
Indiana,Clay County,37.8,7.25,75.25,30.4,567,3610,4177,14.5
Iowa,Clay County,29.6,7.25,75.25,30.4,567,3610,4177,14.5
Kansas,Clay County,31.7,7.25,75.25,30.4,567,3610,4177,14.5
