States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,CountyState
AL,1706,12399,14105,Autauga County Alabama
AL,3236,34173,37409,Baldwin County Alabama
AL,2137,9847,11984,Barbour County Alabama
AL,1195,6453,7648,Bibb County Alabama
AL,2046,14415,16461,Blount County Alabama
AL,1189,4440,5629,Bullock County Alabama
AL,1766,8405,10171,Butler County Alabama
AL,7206,40127,47333,Calhoun County Alabama
AL,2509,13405,15914,Chambers County Alabama
AL,1422,8589,10011,Cherokee County Alabama
AL,2271,16218,18489,Chilton County Alabama
AL,1005,5339,6344,Choctaw County Alabama
AL,2381,9473,11854,Clarke County Alabama
AL,567,3610,4177,Clay County Alabama
AL,626,4179,4805,Cleburne County Alabama
AL,1426,10160,11586,Coffee County Alabama
AL,2359,15129,17488,Colbert County Alabama
AL,1284,7013,8297,Conecuh County Alabama
AL,582,3359,3941,Coosa County Alabama
AL,1832,13409,15241,Covington County Alabama
AL,945,4741,5686,Crenshaw County Alabama
AL,2769,19118,21887,Cullman County Alabama
AL,3104,16622,19726,Dale County Alabama
AL,6924,25741,32665,Dallas County Alabama
AL,2455,22504,24959,DeKalb County Alabama
AL,2848,18377,21225,Elmore County Alabama
AL,2245,15798,18043,Escambia County Alabama
AL,4446,28869,33315,Etowah County Alabama
AL,1427,5977,7404,Fayette County Alabama
AL,1656,10694,12350,Franklin County Alabama
AL,1296,9069,10365,Geneva County Alabama
AL,1136,5037,6173,Greene County Alabama
AL,1628,6138,7766,Hale County Alabama
AL,968,5793,6761,Henry County Alabama
AL,5946,28719,34665,Houston County Alabama
AL,2154,15585,17739,Jackson County Alabama
AL,37750,171288,209038,Jefferson County Alabama
AL,1009,4639,5648,Lamar County Alabama
AL,3240,21784,25024,Lauderdale County Alabama
AL,1700,10004,11704,Lawrence County Alabama
AL,3620,27448,31068,Lee County Alabama
AL,2649,17871,20520,Limestone County Alabama
AL,1737,6833,8570,Lowndes County Alabama
AL,2313,12111,14424,Macon County Alabama
AL,8431,51364,59795,Madison County Alabama
AL,2153,8363,10516,Marengo County Alabama
AL,1712,10774,12486,Marion County Alabama
AL,3134,24854,27988,Marshall County Alabama
AL,24388,153808,178196,Mobile County Alabama
AL,1497,9215,10712,Monroe County Alabama
AL,16819,79080,95899,Montgomery County Alabama
AL,3370,26663,30033,Morgan County Alabama
AL,1850,7138,8988,Perry County Alabama
AL,1721,6505,8226,Pickens County Alabama
AL,2596,11700,14296,Pike County Alabama
AL,1645,9790,11435,Randolph County Alabama
AL,3801,23160,26961,Russell County Alabama
AL,2940,20002,22942,St. Clair County Alabama
AL,2919,20722,23641,Shelby County Alabama
AL,2013,6965,8978,Sumter County Alabama
AL,5698,27741,33439,Talladega County Alabama
AL,2777,13514,16291,Tallapoosa County Alabama
AL,9723,41799,51522,Tuscaloosa County Alabama
AL,2832,18832,21664,Walker County Alabama
AL,1035,5726,6761,Washington County Alabama
AL,2433,7713,10146,Wilcox County Alabama
AL,1297,6624,7921,Winston County Alabama
AK,25528,131293,156821,Aleutians East Borough Alaska
AZ,603,54095,54698,Aleutians West Census Area Arizona
AZ,3601,39575,43176,Anchorage Borough/municipality Arizona
AZ,2167,19165,21332,Bethel Census Area Arizona
AZ,1434,20410,21844,Bristol Bay Borough Arizona
AZ,0,0,0,Denali Borough Arizona
AZ,1000,45940,46940,Dillingham Census Area Arizona
AZ,3949,20826,24775,Fairbanks North Star Borough Arizona
AZ,1530,13830,15360,Haines Borough Arizona
KS,899,6883,7782,Juneau Borough/city Kansas
AZ,738,7124,7862,Kenai Peninsula Borough Arizona
KS,107,177,284,Ketchikan Gateway Borough Kansas
AZ,140,2211,2351,Kodiak Island Borough Arizona
AZ,117872,1002996,1120868,Kusilvak Census Area Arizona
AZ,5720,77341,83061,Lake and Peninsula Borough Arizona
AZ,8537,58039,66576,Matanuska-Susitna Borough Arizona
NM,4392,49727,54119,Nome Census Area New Mexico
AZ,4271,48178,52449,North Slope Borough Arizona
NM,126,39866,39992,Northwest Arctic Borough New Mexico
AZ,28889,297162,326051,Sitka Borough/city Arizona
AZ,8969,91587,100556,Southeast Fairbanks Census Area Arizona
AZ,1137,21190,22327,Valdez-Cordova Census Area Arizona
AZ,2777,54127,56904,Yakutat Borough/city Arizona
AZ,4943,74317,79260,Yukon-Koyukuk Census Area Arizona
AZ,856,6991,7847,Apache County Arizona
AR,383,7106,7489,Cochise County Arkansas
AR,461,9430,9891,Coconino County Arkansas
AR,378,10401,10779,Gila County Arkansas
AR,489,39758,40247,Graham County Arkansas
AR,674,10597,11271,Greenlee County Arkansas
AR,372,4809,5181,La Paz County Arkansas
AR,64,1226,1290,Maricopa County Arkansas
TX,55,3833,3888,Mohave County Texas
AR,54,3860,3914,Navajo County Arkansas
TX,45,6467,6512,Pima County Texas
AR,125,6518,6643,Pinal County Arkansas
