States,Jan & July Public Assist. Participation,Jan & July Non-Public Assist. Participation,Jan & July TOTAL Assist. Participation,Counties
AL,1706,12399,14105,Autauga County
AL,3236,34173,37409,Baldwin County
AL,2137,9847,11984,Barbour County
AL,1195,6453,7648,Bibb County
AL,2046,14415,16461,Blount County
AL,1189,4440,5629,Bullock County
AL,1766,8405,10171,Butler County
AL,7206,40127,47333,Calhoun County
AL,2509,13405,15914,Chambers County
AL,1422,8589,10011,Cherokee County
AL,2271,16218,18489,Chilton County
AL,1005,5339,6344,Choctaw County
AL,2381,9473,11854,Clarke County
AL,567,3610,4177,Clay County
AL,626,4179,4805,Cleburne County
AL,1426,10160,11586,Coffee County
AL,2359,15129,17488,Colbert County
AL,1284,7013,8297,Conecuh County
AL,582,3359,3941,Coosa County
AL,1832,13409,15241,Covington County
AL,945,4741,5686,Crenshaw County
AL,2769,19118,21887,Cullman County
AL,3104,16622,19726,Dale County
AL,6924,25741,32665,Dallas County
AL,2455,22504,24959,DeKalb County
AL,2848,18377,21225,Elmore County
AL,2245,15798,18043,Escambia County
AL,4446,28869,33315,Etowah County
AL,1427,5977,7404,Fayette County
AL,1656,10694,12350,Franklin County
AL,1296,9069,10365,Geneva County
AL,1136,5037,6173,Greene County
AL,1628,6138,7766,Hale County
AL,968,5793,6761,Henry County
AL,5946,28719,34665,Houston County
AL,2154,15585,17739,Jackson County
AL,37750,171288,209038,Jefferson County
AL,1009,4639,5648,Lamar County
AL,3240,21784,25024,Lauderdale County
AL,1700,10004,11704,Lawrence County
AL,3620,27448,31068,Lee County
AL,2649,17871,20520,Limestone County
AL,1737,6833,8570,Lowndes County
AL,2313,12111,14424,Macon County
AL,8431,51364,59795,Madison County
AL,2153,8363,10516,Marengo County
AL,1712,10774,12486,Marion County
AL,3134,24854,27988,Marshall County
AL,24388,153808,178196,Mobile County
AL,1497,9215,10712,Monroe County
AL,16819,79080,95899,Montgomery County
AL,3370,26663,30033,Morgan County
AL,1850,7138,8988,Perry County
AL,1721,6505,8226,Pickens County
AL,2596,11700,14296,Pike County
AL,1645,9790,11435,Randolph County
AL,3801,23160,26961,Russell County
AL,2940,20002,22942,St. Clair County
AL,2919,20722,23641,Shelby County
AL,2013,6965,8978,Sumter County
AL,5698,27741,33439,Talladega County
AL,2777,13514,16291,Tallapoosa County
AL,9723,41799,51522,Tuscaloosa County
AL,2832,18832,21664,Walker County
AL,1035,5726,6761,Washington County
AL,2433,7713,10146,Wilcox County
AL,1297,6624,7921,Winston County
AK,25528,131293,156821,Aleutians East Borough
AZ,603,54095,54698,Aleutians West Census Area
AZ,3601,39575,43176,Anchorage Borough/municipality
AZ,2167,19165,21332,Bethel Census Area
AZ,1434,20410,21844,Bristol Bay Borough
AZ,0,0,0,Denali Borough
AZ,1000,45940,46940,Dillingham Census Area
AZ,3949,20826,24775,Fairbanks North Star Borough
AZ,1530,13830,15360,Haines Borough
KS,899,6883,7782,Juneau Borough/city
AZ,738,7124,7862,Kenai Peninsula Borough
KS,107,177,284,Ketchikan Gateway Borough
AZ,140,2211,2351,Kodiak Island Borough
AZ,117872,1002996,1120868,Kusilvak Census Area
AZ,5720,77341,83061,Lake and Peninsula Borough
AZ,8537,58039,66576,Matanuska-Susitna Borough
NM,4392,49727,54119,Nome Census Area
AZ,4271,48178,52449,North Slope Borough
NM,126,39866,39992,Northwest Arctic Borough
AZ,28889,297162,326051,Sitka Borough/city
AZ,8969,91587,100556,Southeast Fairbanks Census Area
AZ,1137,21190,22327,Valdez-Cordova Census Area
AZ,2777,54127,56904,Yakutat Borough/city
AZ,4943,74317,79260,Yukon-Koyukuk Census Area
AZ,856,6991,7847,Apache County
AR,383,7106,7489,Cochise County
AR,461,9430,9891,Coconino County
AR,378,10401,10779,Gila County
AR,489,39758,40247,Graham County
AR,674,10597,11271,Greenlee County
AR,372,4809,5181,La Paz County
AR,64,1226,1290,Maricopa County
TX,55,3833,3888,Mohave County
AR,54,3860,3914,Navajo County
TX,45,6467,6512,Pima County
AR,125,6518,6643,Pinal County
AR,552,6668,7220,Santa Cruz County
AR,250,6248,6498,Yavapai County
NV,25004,202549,227553,Yuma County
AR,24609,177250,201859,Arkansas County
NV,49363,373551,422914,Ashley County
AR,347,4495,4842,Baxter County
TX,198,2855,3053,Benton County
AR,165,2636,2801,Boone County
TX,16,996,1012,Bradley County
AR,202,6124,6326,Calhoun County
AR,182,2620,2802,Carroll County
OK,617,28194,28811,Chicot County
AR,657,26038,26695,Clark County
OK,1092,51612,52704,Clay County
AR,741,10705,11446,Cleburne County
AR,275,7814,8089,Cleveland County
AR,2446,26563,29009,Columbia County
AR,556,18849,19405,Conway County
AR,2481,26723,29204,Craighead County
AR,428,5834,6262,Crawford County
AR,265,2964,3229,Crittenden County
TX,6493,371547,378040,Cross County
AR,5484,323844,329328,Dallas County
TX,11712,692427,704139,Desha County
AR,452,6717,7169,Drew County
AR,363,7218,7581,Faulkner County
AR,990,22602,23592,Franklin County
AR,165,6260,6425,Fulton County
TX,93,4286,4379,Garland County
AR,98,4227,4325,Grant County
TX,26,2253,2279,Greene County
AR,217,3775,3992,Hempstead County
AR,1196,29397,30593,Hot Spring County
AR,109,4060,4169,Howard County
NM,646,7509,8155,Independence County
OK,49,2284,2333,Izard County
AR,541,7354,7895,Jackson County
NM,1078,10803,11881,Jefferson County
OK,481,5578,6059,Johnson County
AR,60,2366,2426,Lafayette County
NM,597,5815,6412,Lawrence County
OK,0,590,590,Lee County
AR,654,13602,14256,Lincoln County
AR,602,8300,8902,Little River County
AR,285,10080,10365,Logan County
AR,174,4700,4874,Lonoke County
TX,214,11232,11446,Madison County
AR,217,9985,10202,Marion County
TX,257,16517,16774,Miller County
AR,586,9405,9991,Mississippi County
AR,108,3610,3718,Monroe County
AR,478,6603,7081,Montgomery County
OK,294,8260,8554,Nevada County
TX,309,5426,5735,Newton County
AR,304,8045,8349,Ouachita County
OK,120,9702,9822,Perry County
TX,135,6868,7003,Phillips County
AR,292,5356,5648,Pike County
OK,108,7013,7121,Poinsett County
TX,123,4179,4302,Polk County
AR,3208,35031,38239,Pope County
OK,1731,18763,20494,Prairie County
