County,State,Life expectancy 2010
Autauga County, Alabama,75.74
Baldwin County, Alabama,77.80
Barbour County, Alabama,75.34
Bibb County, Alabama,74.13
Blount County, Alabama,76.41
Bullock County, Alabama,73.61
Butler County, Alabama,73.63
Calhoun County, Alabama,74.11
Chambers County, Alabama,74.09
Cherokee County, Alabama,75.26
Chilton County, Alabama,74.50
Choctaw County, Alabama,75.19
Clarke County, Alabama,75.29
Clay County, Alabama,75.25
Cleburne County, Alabama,74.53
Coffee County, Alabama,76.50
Colbert County, Alabama,75.26
Conecuh County, Alabama,74.08
Coosa County, Alabama,75.21
Covington County, Alabama,75.42
Crenshaw County, Alabama,74.47
Cullman County, Alabama,75.48
Dale County, Alabama,76.33
Dallas County, Alabama,72.48
DeKalb County, Alabama,75.33
Elmore County, Alabama,75.95
Escambia County, Alabama,74.30
Etowah County, Alabama,73.86
Fayette County, Alabama,74.26
Franklin County, Alabama,73.57
Geneva County, Alabama,75.65
Greene County, Alabama,74.08
Hale County, Alabama,73.93
Henry County, Alabama,75.82
Houston County, Alabama,76.70
Jackson County, Alabama,74.39
Jefferson County, Alabama,75.11
Lamar County, Alabama,74.93
Lauderdale County, Alabama,76.55
Lawrence County, Alabama,74.55
Lee County, Alabama,77.17
Limestone County, Alabama,77.15
Lowndes County, Alabama,72.78
Macon County, Alabama,72.98
Madison County, Alabama,77.79
Marengo County, Alabama,74.67
Marion County, Alabama,74.62
Marshall County, Alabama,74.57
Mobile County, Alabama,74.95
Monroe County, Alabama,74.90
Montgomery County, Alabama,75.93
Morgan County, Alabama,75.92
Perry County, Alabama,72.55
Pickens County, Alabama,74.66
Pike County, Alabama,74.86
Randolph County, Alabama,74.78
Russell County, Alabama,73.87
Saint Clair County, Alabama,75.35
Shelby County, Alabama,79.18
Sumter County, Alabama,74.63
Talladega County, Alabama,74.23
Tallapoosa County, Alabama,74.99
Tuscaloosa County, Alabama,75.86
Walker County, Alabama,72.12
Washington County, Alabama,74.82
Wilcox County, Alabama,72.41
Winston County, Alabama,74.42
Aleutians East Borough, Alaska,82.76
Aleutians West Census Area, Alaska,82.76
Anchorage Municipality, Alaska,78.62
Bethel Census Area, Alaska,74.04
Bristol Bay Borough, Alaska,76.82
Denali Borough, Alaska,74.22
Dillingham Census Area, Alaska,74.67
Fairbanks North Star Borough, Alaska,79.25
Haines Borough, Alaska,79.40
Hoonah-Angoon Census Area, Alaska,79.44
Juneau City and Borough, Alaska,80.13
Kenai Peninsula Borough, Alaska,78.32
Ketchikan Gateway Borough, Alaska,77.94
Kodiak Island Borough, Alaska,79.07
Kusilvak Census Area, Alaska,70.47
Lake and Peninsula Borough, Alaska,74.67
Matanuska-Susitna Borough, Alaska,78.02
Nome Census Area, Alaska,72.14
North Slope Borough, Alaska,76.42
Northwest Arctic Borough, Alaska,74.02
