Percent Obese,CountyState
30.5,Autauga County Alabama
26.6,Baldwin County Alabama
37.3,Barbour County Alabama
34.3,Bibb County Alabama
30.4,Blount County Alabama
42.1,Bullock County Alabama
38.3,Butler County Alabama
33.2,Calhoun County Alabama
35.4,Chambers County Alabama
31.4,Cherokee County Alabama
38.3,Chilton County Alabama
38.9,Choctaw County Alabama
36,Clarke County Alabama
35.3,Clay County Alabama
31.3,Cleburne County Alabama
29.9,Coffee County Alabama
32.2,Colbert County Alabama
36.3,Conecuh County Alabama
34.3,Coosa County Alabama
33.8,Covington County Alabama
35.7,Crenshaw County Alabama
32.4,Cullman County Alabama
35.3,Dale County Alabama
41.4,Dallas County Alabama
32.4,DeKalb County Alabama
30.6,Elmore County Alabama
36.9,Escambia County Alabama
31.8,Etowah County Alabama
36.4,Fayette County Alabama
34.3,Franklin County Alabama
34,Geneva County Alabama
47.9,Greene County Alabama
41.6,Hale County Alabama
34.6,Henry County Alabama
34.9,Houston County Alabama
30,Jackson County Alabama
32.2,Jefferson County Alabama
31.3,Lamar County Alabama
32.2,Lauderdale County Alabama
37.7,Lawrence County Alabama
32,Lee County Alabama
33.8,Limestone County Alabama
43.8,Lowndes County Alabama
39.2,Macon County Alabama
30,Madison County Alabama
41.6,Marengo County Alabama
33,Marion County Alabama
31.5,Marshall County Alabama
33.9,Mobile County Alabama
35.9,Monroe County Alabama
35.3,Montgomery County Alabama
28.5,Morgan County Alabama
38.9,Perry County Alabama
38.5,Pickens County Alabama
36,Pike County Alabama
34.2,Randolph County Alabama
36.5,Russell County Alabama
32.9,St. Clair County Alabama
29.6,Shelby County Alabama
40.1,Sumter County Alabama
38.4,Talladega County Alabama
35.1,Tallapoosa County Alabama
33.2,Tuscaloosa County Alabama
36,Walker County Alabama
35.9,Washington County Alabama
41.6,Wilcox County Alabama
35.7,Winston County Alabama
32.3,Aleutians East Borough Alaska
30,Aleutians West Alaska
25.7,Anchorage Municipality Alaska
31.5,Bethel Census Area Alaska
31.1,Bristol Bay Borough Alaska
24.7,Denali Borough Alaska
31.8,Dillingham Census Area Alaska
29.1,Fairbanks North Star Alaska
29.6,Haines Borough Alaska
30.3,Hoonah-Angoon 2009 Census Alaska
26,Juneau City and Borough Alaska
27.5,Kenai Peninsula Borough Alaska
29.2,Ketchikan Gateway Borough Alaska
30.1,Kodiak Island Borough Alaska
31.5,Lake and Peninsula Borough Alaska
29.8,Matanuska-Susitna Borough Alaska
35.6,Nome Census Area Alaska
35.6,North Slope Borough Alaska
29.7,Northwest Arctic Borough Alaska
30.6,Petersburg 2009 Census Alaska
33.7,Prince of Wales-Hyder 2009 Census Alaska
No Data,Prince of Wales-Outer K 2004 to 2008 Census Alaska
28.2,Sitka City and Borough Alaska
30,Skagway Municipality 2009 Census Alaska
No Data,Hoonah-Angoon 2004 to 2008 Census Alaska
31.7,Southeast Fairbanks Census Alaska
28.3,Valdez-Cordova Census Area Alaska
27.6,Wade Hampton Census Area Alaska
31.4,Wrangell City and Borough 2009 Census Alaska
No Data,Wrangell-Petersburg 2004 to 2008 Census Alaska
31.6,Yakutat City and Borough Alaska
29,Yukon-Koyukuk Census Area Alaska
31.8,Apache County Arizona
24.7,Cochise County Arizona
23.3,Coconino County Arizona
26.3,Gila County Arizona
33.9,Graham County Arizona
34.2,Greenlee County Arizona
31.2,La Paz County Arizona
22.8,Maricopa County Arizona
27.1,Mohave County Arizona
31.7,Navajo County Arizona
24.1,Pima County Arizona
31.4,Pinal County Arizona
20.1,Santa Cruz County Arizona
23.4,Yavapai County Arizona
31.1,Yuma County Arizona
35.4,Arkansas County Arkansas
38,Ashley County Arkansas
28.5,Baxter County Arkansas
27.6,Benton County Arkansas
27.3,Boone County Arkansas
34,Bradley County Arkansas
34.2,Calhoun County Arkansas
28.7,Carroll County Arkansas
36.8,Chicot County Arkansas
32.6,Clark County Arkansas
32,Clay County Arkansas
28.8,Cleburne County Arkansas
34.9,Cleveland County Arkansas
33.5,Columbia County Arkansas
35.7,Conway County Arkansas
34.1,Craighead County Arkansas
35.9,Crawford County Arkansas
38.1,Crittenden County Arkansas
36.5,Cross County Arkansas
33,Dallas County Arkansas
36.9,Desha County Arkansas
32.3,Drew County Arkansas
29.4,Faulkner County Arkansas
33.6,Franklin County Arkansas
31.1,Fulton County Arkansas
28.3,Garland County Arkansas
36.1,Grant County Arkansas
37.8,Greene County Arkansas
36.3,Hempstead County Arkansas
33.4,Hot Spring County Arkansas
35.7,Howard County Arkansas
29.8,Independence County Arkansas
30.3,Izard County Arkansas
37.1,Jackson County Arkansas
40,Jefferson County Arkansas
34.9,Johnson County Arkansas
30.9,Lafayette County Arkansas
38,Lawrence County Arkansas
34.6,Lee County Arkansas
32.9,Lincoln County Arkansas
32.9,Little River County Arkansas
33.2,Logan County Arkansas
31.2,Lonoke County Arkansas
32.8,Madison County Arkansas
32.6,Marion County Arkansas
33.6,Miller County Arkansas
39.1,Mississippi County Arkansas
35.1,Monroe County Arkansas
29.6,Montgomery County Arkansas
34.4,Nevada County Arkansas
36.3,Newton County Arkansas
39.8,Ouachita County Arkansas
33.8,Perry County Arkansas
38,Phillips County Arkansas
33.6,Pike County Arkansas
35.7,Poinsett County Arkansas
33.1,Polk County Arkansas
35.2,Pope County Arkansas
32.8,Prairie County Arkansas
33.1,Pulaski County Arkansas
34.2,Randolph County Arkansas
38.6,St. Francis County Arkansas
31.5,Saline County Arkansas
29.4,Scott County Arkansas
30.2,Searcy County Arkansas
29.8,Sebastian County Arkansas
37.9,Sevier County Arkansas
30.3,Sharp County Arkansas
34.2,Stone County Arkansas
30.9,Union County Arkansas
33.2,Van Buren County Arkansas
28.6,Washington County Arkansas
33.4,White County Arkansas
