County,Percent Smokers,State Ab,State,CountyState
Autauga County,25.8, Alabama, Alabama,Autauga County  Alabama
Baldwin County,23.0, Alabama, Alabama,Baldwin County  Alabama
Barbour County,26.8, Alabama, Alabama,Barbour County  Alabama
Bibb County,30.1, Alabama, Alabama,Bibb County  Alabama
Blount County,27.9, Alabama, Alabama,Blount County  Alabama
Bullock County,28.0, Alabama, Alabama,Bullock County  Alabama
Butler County,28.3, Alabama, Alabama,Butler County  Alabama
Calhoun County,28.6, Alabama, Alabama,Calhoun County  Alabama
Chambers County,29.5, Alabama, Alabama,Chambers County  Alabama
Cherokee County,26.1, Alabama, Alabama,Cherokee County  Alabama
Chilton County,28.9, Alabama, Alabama,Chilton County  Alabama
Choctaw County,23.2, Alabama, Alabama,Choctaw County  Alabama
Clarke County,24.3, Alabama, Alabama,Clarke County  Alabama
Clay County,30.4, Alabama, Alabama,Clay County  Alabama
Cleburne County,29.0, Alabama, Alabama,Cleburne County  Alabama
Coffee County,24.2, Alabama, Alabama,Coffee County  Alabama
Colbert County,26.2, Alabama, Alabama,Colbert County  Alabama
Conecuh County,27.8, Alabama, Alabama,Conecuh County  Alabama
Coosa County,30.4, Alabama, Alabama,Coosa County  Alabama
Covington County,29.7, Alabama, Alabama,Covington County  Alabama
Crenshaw County,27.2, Alabama, Alabama,Crenshaw County  Alabama
Cullman County,27.6, Alabama, Alabama,Cullman County  Alabama
Dale County,24.3, Alabama, Alabama,Dale County  Alabama
Dallas County,27.7, Alabama, Alabama,Dallas County  Alabama
DeKalb County,27.2, Alabama, Alabama,DeKalb County  Alabama
Elmore County,26.9, Alabama, Alabama,Elmore County  Alabama
Escambia County,28.6, Alabama, Alabama,Escambia County  Alabama
Etowah County,29.1, Alabama, Alabama,Etowah County  Alabama
Fayette County,26.8, Alabama, Alabama,Fayette County  Alabama
Franklin County,26.9, Alabama, Alabama,Franklin County  Alabama
Geneva County,28.0, Alabama, Alabama,Geneva County  Alabama
Greene County,25.1, Alabama, Alabama,Greene County  Alabama
Hale County,24.7, Alabama, Alabama,Hale County  Alabama
Henry County,23.8, Alabama, Alabama,Henry County  Alabama
Houston County,24.5, Alabama, Alabama,Houston County  Alabama
Jackson County,28.4, Alabama, Alabama,Jackson County  Alabama
Jefferson County,23.0, Alabama, Alabama,Jefferson County  Alabama
Lamar County,26.6, Alabama, Alabama,Lamar County  Alabama
Lauderdale County,23.8, Alabama, Alabama,Lauderdale County  Alabama
Lawrence County,27.4, Alabama, Alabama,Lawrence County  Alabama
Lee County,21.6, Alabama, Alabama,Lee County  Alabama
Limestone County,25.5, Alabama, Alabama,Limestone County  Alabama
Lowndes County,25.9, Alabama, Alabama,Lowndes County  Alabama
Macon County,25.4, Alabama, Alabama,Macon County  Alabama
Madison County,21.5, Alabama, Alabama,Madison County  Alabama
Marengo County,21.6, Alabama, Alabama,Marengo County  Alabama
Marion County,27.6, Alabama, Alabama,Marion County  Alabama
Marshall County,28.4, Alabama, Alabama,Marshall County  Alabama
Mobile County,26.7, Alabama, Alabama,Mobile County  Alabama
Monroe County,25.9, Alabama, Alabama,Monroe County  Alabama
Montgomery County,22.7, Alabama, Alabama,Montgomery County  Alabama
Morgan County,27.4, Alabama, Alabama,Morgan County  Alabama
Perry County,26.5, Alabama, Alabama,Perry County  Alabama
Pickens County,26.1, Alabama, Alabama,Pickens County  Alabama
Pike County,23.4, Alabama, Alabama,Pike County  Alabama
Randolph County,30.4, Alabama, Alabama,Randolph County  Alabama
Russell County,28.4, Alabama, Alabama,Russell County  Alabama
Shelby County,19.1, Alabama, Alabama,Shelby County  Alabama
St. Clair County,26.8, Alabama, Alabama,St. Clair County  Alabama
Sumter County,23.1, Alabama, Alabama,Sumter County  Alabama
Talladega County,27.2, Alabama, Alabama,Talladega County  Alabama
Tallapoosa County,27.9, Alabama, Alabama,Tallapoosa County  Alabama
Tuscaloosa County,23.0, Alabama, Alabama,Tuscaloosa County  Alabama
Walker County,28.8, Alabama, Alabama,Walker County  Alabama
Washington County,24.6, Alabama, Alabama,Washington County  Alabama
Wilcox County,26.0, Alabama, Alabama,Wilcox County  Alabama
Winston County,28.4, Alabama, Alabama,Winston County  Alabama
Aleutians East Borough,27.4, Alaska, Alaska,Aleutians East Borough  Alaska
Aleutians West Census Area,27.2, Alaska, Alaska,Aleutians West Census Area  Alaska
Anchorage Municipality,18.7, Alaska, Alaska,Anchorage Municipality  Alaska
Bethel Census Area,32.0, Alaska, Alaska,Bethel Census Area  Alaska
Bristol Bay Borough,30.0, Alaska, Alaska,Bristol Bay Borough  Alaska
Denali Borough/Yukon-Koyukuk Census Area,33.4, Alaska, Alaska,Denali Borough/Yukon-Koyukuk Census Area  Alaska
Dillingham Census Area,34.6, Alaska, Alaska,Dillingham Census Area  Alaska
Fairbanks North Star Borough,21.0, Alaska, Alaska,Fairbanks North Star Borough  Alaska
Haines Borough,19.9, Alaska, Alaska,Haines Borough  Alaska
