State,Unemployment_rate_2010,Counties
AL,8.9,Autauga County
AL,10,Baldwin County
AL,12.3,Barbour County
AL,11.4,Bibb County
AL,9.8,Blount County
AL,11.8,Bullock County
AL,13.6,Butler County
AL,11.4,Calhoun County
AL,14.9,Chambers County
AL,10.6,Cherokee County
AL,10.3,Chilton County
AL,13.3,Choctaw County
AL,19.9,Clarke County
AL,14.5,Clay County
AL,10,Cleburne County
AL,8.6,Coffee County
AL,11.5,Colbert County
AL,17.2,Conecuh County
AL,15.4,Coosa County
AL,10.3,Covington County
AL,10.2,Crenshaw County
AL,10.4,Cullman County
AL,8.8,Dale County
AL,16.9,Dallas County
AL,12.7,DeKalb County
AL,9.1,Elmore County
AL,11.8,Escambia County
AL,10.9,Etowah County
AL,13,Fayette County
AL,10.7,Franklin County
AL,10.4,Geneva County
AL,17.3,Greene County
AL,15.1,Hale County
AL,10.9,Henry County
AL,9.1,Houston County
AL,11.8,Jackson County
AL,10.3,Jefferson County
AL,13.2,Lamar County
AL,10.1,Lauderdale County
AL,12.6,Lawrence County
AL,9,Lee County
AL,9.6,Limestone County
AL,18.5,Lowndes County
AL,14.8,Macon County
AL,8.3,Madison County
AL,13.7,Marengo County
AL,13.6,Marion County
AL,9.6,Marshall County
AL,11.3,Mobile County
AL,18.1,Monroe County
AL,10,Montgomery County
AL,10.8,Morgan County
AL,16.8,Perry County
AL,13.1,Pickens County
AL,9.4,Pike County
AL,13.4,Randolph County
AL,10.9,Russell County
AL,10.1,St. Clair County
AL,7.1,Shelby County
AL,13.3,Sumter County
AL,13.5,Talladega County
AL,13.1,Tallapoosa County
AL,9.2,Tuscaloosa County
AL,12.7,Walker County
AL,14.2,Washington County
AL,26.3,Wilcox County
AL,16,Winston County
AK,5.6,Aleutians East Borough
AK,5.1,Aleutians West Census Area
AK,6.6,Anchorage Borough/municipality
AK,14.6,Bethel Census Area
AK,9.7,Bristol Bay Borough
AK,11.9,Denali Borough
AK,10.1,Dillingham Census Area
AK,6.6,Fairbanks North Star Borough
AK,10.6,Haines Borough
AK,5.9,Juneau Borough/city
AK,10,Kenai Peninsula Borough
AK,8.7,Ketchikan Gateway Borough
AK,7.4,Kodiak Island Borough
AK,20.4,Kusilvak Census Area
AK,14.4,Lake and Peninsula Borough
AK,9.4,Matanuska-Susitna Borough
AK,12.6,Nome Census Area
AK,8,North Slope Borough
AK,13.4,Northwest Arctic Borough
AK,6.3,Sitka Borough/city
AK,11.9,Southeast Fairbanks Census Area
AK,9.4,Valdez-Cordova Census Area
AK,10.8,Yakutat Borough/city
AK,17.2,Yukon-Koyukuk Census Area
AZ,16.4,Apache County
AZ,9.3,Cochise County
AZ,9.9,Coconino County
AZ,12.5,Gila County
AZ,12.9,Graham County
AZ,16.4,Greenlee County
AZ,10.2,La Paz County
AZ,9.5,Maricopa County
AZ,13,Mohave County
AZ,14.7,Navajo County
AZ,9.3,Pima County
AZ,10.7,Pinal County
AZ,15.2,Santa Cruz County
AZ,10.7,Yavapai County
AZ,25.1,Yuma County
AR,18.6,Arkansas County
AR,10.1,Ashley County
AR,9.4,Baxter County
AR,6.6,Benton County
AR,7.8,Boone County
AR,10.8,Bradley County
AR,8.8,Calhoun County
AR,7.3,Carroll County
AR,12.3,Chicot County
AR,8.6,Clark County
AR,11,Clay County
AR,8.6,Cleburne County
AR,8.4,Cleveland County
AR,10,Columbia County
AR,9.7,Conway County
AR,7.4,Craighead County
AR,8.2,Crawford County
AR,10.5,Crittenden County
AR,8.3,Cross County
AR,12.3,Dallas County
AR,11.1,Desha County
AR,10.9,Drew County
AR,7.2,Faulkner County
AR,7.7,Franklin County
AR,7.8,Fulton County
AR,8.5,Garland County
AR,7.1,Grant County
AR,9.7,Greene County
AR,9.3,Hempstead County
AR,8.6,Hot Spring County
AR,7.8,Howard County
AR,8.8,Independence County
AR,10.1,Izard County
AR,11.9,Jackson County
AR,10.4,Jefferson County
AR,8.2,Johnson County
AR,9.9,Lafayette County
AR,9.5,Lawrence County
AR,8.6,Lee County
AR,9.4,Lincoln County
AR,7.7,Little River County
AR,8.6,Logan County
AR,6.8,Lonoke County
AR,7.1,Madison County
AR,10.1,Marion County
AR,5.8,Miller County
AR,12.5,Mississippi County
AR,9.2,Monroe County
AR,8.8,Montgomery County
AR,10,Nevada County
AR,6.9,Newton County
AR,9.6,Ouachita County
AR,8.9,Perry County
AR,10.5,Phillips County
AR,9.1,Pike County
AR,9.3,Poinsett County
AR,7.5,Polk County
AR,7.8,Pope County
AR,9.2,Prairie County
AR,7.3,Pulaski County
AR,10.2,Randolph County
AR,10.6,St. Francis County
AR,6.7,Saline County
AR,7.1,Scott County
AR,9.2,Searcy County
AR,8,Sebastian County
AR,7,Sevier County
AR,9.8,Sharp County
AR,7.6,Stone County
AR,11.3,Union County
AR,11.2,Van Buren County
AR,6.5,Washington County
AR,8.2,White County
AR,10.4,Woodruff County
AR,8.1,Yell County
CA,10.9,Alameda County
CA,12.9,Alpine County
CA,14.1,Amador County
CA,13.9,Butte County
CA,14.4,Calaveras County
CA,20.8,Colusa County
CA,11,Contra Costa County
CA,13.2,Del Norte County
CA,12.2,El Dorado County
CA,16.7,Fresno County
CA,15.4,Glenn County
CA,10.6,Humboldt County
CA,28.8,Imperial County
CA,9.7,Inyo County
CA,15.7,Kern County
CA,16.1,Kings County
CA,15.1,Lake County
CA,14,Lassen County
CA,12.5,Los Angeles County
CA,16.6,Madera County
CA,7.9,Marin County
CA,12.9,Mariposa County
CA,11.6,Mendocino County
CA,18,Merced County
CA,15.2,Modoc County
CA,10.2,Mono County
CA,12.7,Monterey County
CA,10.3,Napa County
CA,11.7,Nevada County
CA,9.7,Orange County
CA,11.6,Placer County
CA,18.2,Plumas County
CA,13.8,Riverside County
CA,12.6,Sacramento County
CA,15.1,San Benito County
CA,13.5,San Bernardino County
CA,10.8,San Diego County
CA,8.9,San Francisco County/city
CA,16.5,San Joaquin County
CA,10.1,San Luis Obispo County
CA,8.4,San Mateo County
CA,9.7,Santa Barbara County
CA,10.4,Santa Clara County
CA,13.3,Santa Cruz County
CA,16.8,Shasta County
CA,15.3,Sierra County
CA,16.8,Siskiyou County
CA,12.6,Solano County
CA,10.8,Sonoma County
CA,16.9,Stanislaus County
CA,18.4,Sutter County
CA,15.4,Tehama County
CA,17,Trinity County
CA,17.2,Tulare County
CA,15.2,Tuolumne County
CA,10.8,Ventura County
CA,12.1,Yolo County
CA,17.8,Yuba County
CO,10,Adams County
CO,9,Alamosa County
CO,8.6,Arapahoe County
CO,10.6,Archuleta County
CO,4.9,Baca County
CO,8.1,Bent County
CO,7,Boulder County
CO,7.4,Broomfield County/city
CO,7.7,Chaffee County
CO,4.1,Cheyenne County
CO,8.1,Clear Creek County
CO,9.6,Conejos County
CO,10.6,Costilla County
CO,9.1,Crowley County
CO,6.6,Custer County
CO,10.7,Delta County
CO,9.1,Denver County/city
CO,17.7,Dolores County
CO,7,Douglas County
CO,8.5,Eagle County
CO,8.1,Elbert County
CO,9.3,El Paso County
CO,11.7,Fremont County
CO,10.3,Garfield County
CO,8,Gilpin County
CO,8.8,Grand County
CO,6.4,Gunnison County
CO,5.7,Hinsdale County
CO,14,Huerfano County
CO,8.8,Jackson County
CO,8.4,Jefferson County
CO,6.4,Kiowa County
CO,4.5,Kit Carson County
CO,11,Lake County
CO,7.1,La Plata County
CO,7.6,Larimer County
CO,10.6,Las Animas County
CO,6,Lincoln County
CO,6.3,Logan County
CO,11,Mesa County
CO,7,Mineral County
CO,9.9,Moffat County
CO,9.1,Montezuma County
CO,11,Montrose County
CO,7,Morgan County
CO,9.2,Otero County
CO,9.8,Ouray County
CO,8.1,Park County
CO,5.3,Phillips County
CO,8.1,Pitkin County
CO,7,Prowers County
CO,10.4,Pueblo County
CO,8.9,Rio Blanco County
CO,10.6,Rio Grande County
CO,9.3,Routt County
CO,10.1,Saguache County
CO,12.5,San Juan County
CO,7.8,San Miguel County
CO,7.4,Sedgwick County
CO,6.7,Summit County
CO,9.4,Teller County
CO,5.9,Washington County
CO,9.2,Weld County
CO,5.6,Yuma County
CT,8.4,Fairfield County
CT,9.5,Hartford County
CT,8.7,Litchfield County
CT,7.9,Middlesex County
CT,10,New Haven County
CT,8.9,New London County
CT,7.8,Tolland County
CT,10.3,Windham County
DE,8.9,Kent County
DE,8.3,New Castle County
DE,8.5,Sussex County
DC,9.4,District of Colu
FL,8,Alachua County
FL,11.3,Baker County
FL,10.5,Bay County
FL,9.9,Bradford County
FL,11.3,Brevard County
FL,10.2,Broward County
FL,10.1,Calhoun County
FL,12.7,Charlotte County
FL,13.7,Citrus County
FL,9.9,Clay County
FL,11.6,Collier County
FL,10.8,Columbia County
FL,12.2,DeSoto County
FL,12.9,Dixie County
FL,11.4,Duval County
FL,10.1,Escambia County
FL,12.4,Flagler County
FL,8,Franklin County
FL,11.8,Gadsden County
FL,10.8,Gilchrist County
FL,9.5,Glades County
FL,10.3,Gulf County
FL,11.4,Hamilton County
FL,11.5,Hardee County
FL,14,Hendry County
FL,13.5,Hernando County
FL,12.5,Highlands County
FL,10.7,Hillsborough County
FL,10.4,Holmes County
FL,13.9,Indian River County
FL,9.1,Jackson County
FL,9.9,Jefferson County
FL,7.3,Lafayette County
FL,11.8,Lake County
FL,12.5,Lee County
FL,7.9,Leon County
FL,11.9,Levy County
FL,8.8,Liberty County
FL,10,Madison County
FL,11.4,Manatee County
FL,13.6,Marion County
FL,10.8,Martin County
FL,11.1,Miami-Dade County
FL,7.8,Monroe County
FL,10.6,Nassau County
FL,8.4,Okaloosa County
FL,12.6,Okeechobee County
FL,10.8,Orange County
FL,12.5,Osceola County
FL,11,Palm Beach County
FL,11.9,Pasco County
FL,10.8,Pinellas County
FL,12.1,Polk County
FL,13.4,Putnam County
FL,8.7,St. Johns County
FL,13.8,St. Lucie County
FL,9.3,Santa Rosa County
FL,11.6,Sarasota County
FL,10.6,Seminole County
FL,13.3,Sumter County
FL,9.8,Suwannee County
FL,10.6,Taylor County
FL,8.5,Union County
FL,12.3,Volusia County
FL,8.4,Wakulla County
FL,9.4,Walton County
FL,10.6,Washington County
GA,11.8,Appling County
GA,15.2,Atkinson County
GA,10.6,Bacon County
GA,12.1,Baker County
GA,15.4,Baldwin County
GA,9.7,Banks County
GA,10.8,Barrow County
GA,12.2,Bartow County
GA,15.9,Ben Hill County
GA,13,Berrien County
GA,11.6,Bibb County
GA,12.5,Bleckley County
GA,12.7,Brantley County
GA,9.6,Brooks County
GA,9.6,Bryan County
GA,10.1,Bulloch County
GA,12.2,Burke County
GA,11.5,Butts County
GA,8.8,Calhoun County
GA,9.9,Camden County
GA,8.8,Candler County
GA,11.7,Carroll County
GA,8.6,Catoosa County
GA,10.6,Charlton County
GA,9.9,Chatham County
GA,10.9,Chattahoochee County
GA,11.7,Chattooga County
GA,8.8,Cherokee County
GA,9.3,Clarke County
GA,11.6,Clay County
GA,13.5,Clayton County
GA,11.1,Clinch County
GA,9.3,Cobb County
GA,15.8,Coffee County
GA,9.7,Colquitt County
GA,7.3,Columbia County
GA,11.7,Cook County
GA,9.7,Coweta County
GA,11.4,Crawford County
GA,14.2,Crisp County
GA,8.7,Dade County
GA,10.9,Dawson County
GA,12.4,Decatur County
GA,10.8,DeKalb County
GA,13,Dodge County
GA,11.6,Dooly County
GA,12.6,Dougherty County
GA,11.2,Douglas County
GA,11.7,Early County
GA,8.2,Echols County
GA,9.6,Effingham County
GA,14.9,Elbert County
GA,12.9,Emanuel County
GA,9.1,Evans County
GA,11.7,Fannin County
GA,8.2,Fayette County
GA,11.8,Floyd County
GA,8,Forsyth County
GA,12.7,Franklin County
GA,10.5,Fulton County
GA,11.3,Gilmer County
GA,11,Glascock County
GA,10,Glynn County
GA,12.7,Gordon County
GA,10.5,Grady County
GA,13.2,Greene County
GA,9.2,Gwinnett County
GA,10.7,Habersham County
GA,9.6,Hall County
GA,22.9,Hancock County
GA,12.3,Haralson County
GA,7.7,Harris County
GA,11.5,Hart County
GA,12.1,Heard County
GA,10.3,Henry County
GA,8.5,Houston County
GA,14.7,Irwin County
GA,10.5,Jackson County
GA,11.7,Jasper County
GA,12.8,Jeff Davis County
GA,14.1,Jefferson County
GA,15.2,Jenkins County
GA,10.8,Johnson County
GA,9.7,Jones County
GA,14.2,Lamar County
GA,10.5,Lanier County
GA,13.2,Laurens County
GA,9,Lee County
GA,9,Liberty County
GA,11.5,Lincoln County
GA,8.4,Long County
GA,9.6,Lowndes County
GA,10.4,Lumpkin County
GA,13.2,McDuffie County
GA,10.6,McIntosh County
GA,13.2,Macon County
GA,10.4,Madison County
GA,10.7,Marion County
GA,13.7,Meriwether County
GA,10.4,Miller County
GA,10.8,Mitchell County
GA,10.2,Monroe County
GA,12,Montgomery County
GA,10.4,Morgan County
GA,13.8,Murray County
GA,10.1,Muscogee County
GA,12.7,Newton County
GA,7.1,Oconee County
GA,9.6,Oglethorpe County
GA,10,Paulding County
GA,12.1,Peach County
GA,11,Pickens County
GA,10.4,Pierce County
GA,10.7,Pike County
GA,12,Polk County
GA,9.2,Pulaski County
GA,12.9,Putnam County
GA,10,Quitman County
GA,11.8,Rabun County
GA,12.2,Randolph County
GA,11,Richmond County
GA,11.3,Rockdale County
GA,12.1,Schley County
GA,17,Screven County
GA,12.5,Seminole County
GA,14.9,Spalding County
GA,12.3,Stephens County
GA,10.3,Stewart County
GA,13.3,Sumter County
GA,10.1,Talbot County
