State,County,Obesity
Alabama,Autauga County,30.5
Alabama,Baldwin County,26.6
Alabama,Barbour County,37.3
Alabama,Bibb County,34.3
Alabama,Blount County,30.4
Alabama,Bullock County,42.1
Alabama,Butler County,38.3
Alabama,Calhoun County,33.2
Alabama,Chambers County,35.4
Alabama,Cherokee County,31.4
Alabama,Chilton County,38.3
Alabama,Choctaw County,38.9
Alabama,Clarke County,36
Alabama,Clay County,35.3
Alabama,Cleburne County,31.3
Alabama,Coffee County,29.9
Alabama,Colbert County,32.2
Alabama,Conecuh County,36.3
Alabama,Coosa County,34.3
Alabama,Covington County,33.8
Alabama,Crenshaw County,35.7
Alabama,Cullman County,32.4
Alabama,Dale County,35.3
Alabama,Dallas County,41.4
Alabama,DeKalb County,32.4
Alabama,Elmore County,30.6
Alabama,Escambia County,36.9
Alabama,Etowah County,31.8
Alabama,Fayette County,36.4
Alabama,Franklin County,34.3
Alabama,Geneva County,34
Alabama,Greene County,47.9
Alabama,Hale County,41.6
Alabama,Henry County,34.6
Alabama,Houston County,34.9
Alabama,Jackson County,30
Alabama,Jefferson County,32.2
Alabama,Lamar County,31.3
Alabama,Lauderdale County,32.2
Alabama,Lawrence County,37.7
Alabama,Lee County,32
Alabama,Limestone County,33.8
Alabama,Lowndes County,43.8
Alabama,Macon County,39.2
Alabama,Madison County,30
Alabama,Marengo County,41.6
Alabama,Marion County,33
Alabama,Marshall County,31.5
Alabama,Mobile County,33.9
Alabama,Monroe County,35.9
Alabama,Montgomery County,35.3
Alabama,Morgan County,28.5
Alabama,Perry County,38.9
Alabama,Pickens County,38.5
Alabama,Pike County,36
Alabama,Randolph County,34.2
Alabama,Russell County,36.5
Alabama,St. Clair County,32.9
Alabama,Shelby County,29.6
Alabama,Sumter County,40.1
Alabama,Talladega County,38.4
Alabama,Tallapoosa County,35.1
Alabama,Tuscaloosa County,33.2
Alabama,Walker County,36
Alabama,Washington County,35.9
Alabama,Wilcox County,41.6
Alabama,Winston County,35.7
Alaska,Aleutians East Borough,32.3
Alaska,Aleutians West,30
Alaska,Anchorage Municipality,25.7
Alaska,Bethel Census Area,31.5
Alaska,Bristol Bay Borough,31.1
Alaska,Denali Borough,24.7
Alaska,Dillingham Census Area,31.8
Alaska,Fairbanks North Star,29.1
Alaska,Haines Borough,29.6
Alaska,Hoonah-Angoon 2009 Census,30.3
Alaska,Juneau City and Borough,26
Alaska,Kenai Peninsula Borough,27.5
Alaska,Ketchikan Gateway Borough,29.2
Alaska,Kodiak Island Borough,30.1
Alaska,Lake and Peninsula Borough,31.5
Alaska,Matanuska-Susitna Borough,29.8
Alaska,Nome Census Area,35.6
Alaska,North Slope Borough,35.6
Alaska,Northwest Arctic Borough,29.7
Alaska,Petersburg 2009 Census,30.6
Alaska,Prince of Wales-Hyder 2009 Census,33.7
