State,County,Obesity
Alabama,Autauga County,11761
Alabama,Baldwin County,36348
Alabama,Barbour County,7743
Alabama,Bibb County,5884
Alabama,Blount County,12690
Alabama,Bullock County,3446
Alabama,Butler County,5892
Alabama,Calhoun County,29091
Alabama,Chambers County,9085
Alabama,Cherokee County,6211
Alabama,Chilton County,12123
Alabama,Choctaw County,4046
Alabama,Clarke County,6728
Alabama,Clay County,3687
Alabama,Cleburne County,3454
Alabama,Coffee County,11019
Alabama,Colbert County,13207
Alabama,Conecuh County,3559
Alabama,Coosa County,3014
Alabama,Covington County,9585
Alabama,Crenshaw County,3648
Alabama,Cullman County,19334
Alabama,Dale County,12908
Alabama,Dallas County,12808
Alabama,DeKalb County,16498
Alabama,Elmore County,17979
Alabama,Escambia County,10546
Alabama,Etowah County,24677
Alabama,Fayette County,4699
Alabama,Franklin County,7882
Alabama,Geneva County,6849
Alabama,Greene County,3122
Alabama,Hale County,4735
Alabama,Henry County,4504
Alabama,Houston County,25956
Alabama,Jackson County,11950
Alabama,Jefferson County,156519
Alabama,Lamar County,3434
Alabama,Lauderdale County,22490
Alabama,Lawrence County,9609
Alabama,Lee County,32508
Alabama,Limestone County,20780
Alabama,Lowndes County,3595
Alabama,Macon County,6179
Alabama,Madison County,73772
Alabama,Marengo County,6330
Alabama,Marion County,7715
Alabama,Marshall County,21255
Alabama,Mobile County,100884
Alabama,Monroe County,5933
Alabama,Montgomery County,58659
Alabama,Morgan County,25038
Alabama,Perry County,2891
Alabama,Pickens County,5620
Alabama,Pike County,8687
Alabama,Randolph County,5743
Alabama,Russell County,13928
Alabama,St. Clair County,20418
Alabama,Shelby County,41809
Alabama,Sumter County,4032
Alabama,Talladega County,23290
Alabama,Tallapoosa County,10992
Alabama,Tuscaloosa County,47144
Alabama,Walker County,18095
Alabama,Washington County,4543
Alabama,Wilcox County,3391
Alabama,Winston County,6629
Alaska,Aleutians East Borough,883
Alaska,Aleutians West,1390
Alaska,Anchorage Municipality,53640
Alaska,Bethel Census Area,3230
Alaska,Bristol Bay Borough,236
Alaska,Denali Borough,343
Alaska,Dillingham Census Area,983
Alaska,Fairbanks North Star,20407
Alaska,Haines Borough,582
Alaska,Hoonah-Angoon 2009 Census,506
Alaska,Juneau City and Borough,6024
Alaska,Kenai Peninsula Borough,11268
Alaska,Ketchikan Gateway Borough,2903
Alaska,Kodiak Island Borough,2822
Alaska,Lake and Peninsula Borough,343
Alaska,Matanuska-Susitna Borough,18300
Alaska,Nome Census Area,2104
Alaska,North Slope Borough,2460
Alaska,Northwest Arctic Borough,1359
Alaska,Petersburg 2009 Census,871
Alaska,Prince of Wales-Hyder 2009 Census,1368
Alaska,Prince of Wales-Outer K 2004 to 2008 Census,No Data
